---
Bogennummer: 27469
Ort: Roßbach
Sprache: Deutsch
Bogentyp: SD
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: ''
Anmerkungen: ''
...
WS01	Ḛm Winter fliegḛ die trockene Blehtr ḛn der Luft römm.
WS02	s höărt gleich <(bal)> auf zä schneiḛ, nochĕt wüĕrt's Wähter wīer besser.
WS03	Thŭ Koullă ēn <(nei'en)> Ofḛ, daß die Mḛllich bal a̰ ze kochḛ fängt.
WS04	Der alt gut Mann is mit'm Gaul durch's Eis gĕbroche <(= e fast wie a)> on̰ is ens kall Wassḛr gfallḛ.
WS05	Er is für vier äwer sechs Wocha̰ g'storba̰.
WS06	ĕs Feṵier waer <(a tief)> zĕ stārk, di Kuchḛ sein ja̰ onna gāns schwaarz gebrönnt.
WS07	Her èst die Ä̰jer ömmer ohna Sālz onn Pfäffer.
WS08	Die Füß ton'mer weh, ich kläb', ich hon sa durch gelaffa.
WS09	Ich sein beid'r Fra gewēst onn hon ser a g'sōgt, onn sie hot gsōgt, sie wöllts ihrer Tochter sog.
WS10	Ich well's a net me wier thu.
WS11	Ich schla̰t'r gleich mitĕm Kochlèffl öm di Uhrn, du Aff! <(A=tief)>.
WS12	Wu gehst'n hie, sölle mĕr mittĕr geh?
WS13	"Es sein schlechtḛ Zeite. <(dumpfes ""e"")>."
WS14	Mei lieb Kend, blei da onne stiën, die bö̰se Gens beihsḛ dich tot.
WS15	Du hāest ha̰it am mèste g'larnt on bist brav <(a tief)> gwèst, du dürfst ender häm̄ geh als bi die Annern.
WS16	Du bist noch net groß gnunk, öm'e Flaschḛ Wei auszĕtrenka̰, du mūst ärscht noch eppes waăs on grösser waer <(a=tief)>.
WS17	Geh, sei so gut on sog dein'r Schwester, sie soll die Kläĕder für äuier Motter fertig näh on mitt'r Bürschtḛ sauber mach.
WS18	Häst'a ihn gekennt! naeht wärsch <(ä=fast wie ö)> annersch komma̰, ŏn es stön bésser öm'n.
WS19	Bär hot mĕr mein Kurb mit Flǟesch g'schtohla̰ <(=a fast wie e)>.
WS20	Er tut so, als hättes'n zum Dröscha b'schtellt; sie hons äwer selber getonn.
WS21	Bemm hot'r die näṵi G'schichte verzehlt?
WS22	Mĕr mus laut schrei <(=präsch)>, sönst versteht'r ons net.
WS23	Wir sein müd, on hon Duărscht.
WS24	Als <(wie)> mer nächtĕ <(=gestern)> Abeds zerrück <(=hämm)> sein kommḛ, do hon die Annern scho im Bett gelege on hon <(=woern)> fest om g'schlaffa̰.<(e)>.
WS25	D'r Schnee is haint di Nocht bei ons lēga gebliebe, äwer d'Morge is'r verschmolze.
WS26	Hinner onneremm Haus stiĕn drei schönne Äpelbämlich mit rote Äppellich.
WS27	Könnt'r net nochă Agenblickchje of ons gĕwārt, nochete giën mer mit äuich.
WS28	Dir düefft net so ă Kennereie treib.
WS29	Onner Barg sein net so hōch, äuiere <(äu fast ei)> sein viel höcher.
WS30	Biv'l Pfond Wuĕrscht on biv'l Brot wöllt'r ho?
WS31	Ich verstiĕ<(r)>n äuich net, ihr mǖhst a besche <(=a wenk)> lauter red.
WS32	Hot'r käe Stöckchje weiße Säaffe <(=wie a)> für mich off meim Tǖsch g'funnḛ.
WS33	Sein Bruder wḛll sich zwä<(i)> schöne näuie Häuiser en äuiern Gārta bau.
WS34	Dōăs Wuert isĕm vom Harza̰ komma.
WS35	Does war <(a tief)> recht von'en.
WS36	Bos sitzĕn do für Vögelich doba of'm Mäuerje?
WS37	Die Bauer honn fönĕf Ursa o̰n neui Küh on zwölef Schäfflich für es Durf gebracht <(a tief)>, die wolltesa̰ verkǟff.
WS38	Die Leuit sein häuit all daus off'm Fäld on mähe=.<(a)>
WS39	Geh ner, derr brau Hund thut t'r nieß.
WS40	Ich sein mit de Leuit da hinna über di Wiesa ens Kuern gfarrn.
