---
Bogennummer: '22229'
Ort: Breitenrode
Gid: 124735
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Regina Elisabeth Morgen
Erstelldatum: 2025-06-30 08:16:21.099242
Änderungsdatum: 2025-06-30 08:16:21.099242
Satzversion: 1
...
WS1	'n Winter fleiget dĕ drögen Blä<(e)>r dörch de Lucht⁀'erum.
WS2	Et hört glieks {s mit Bleistift eingeklammert} op tĕ sn͡i<(e)>n {Bogen geht von n bis n}, denn ward 't Wä͡er {Bogen geht über gesamtes Wort} wedder besser.
WS3	Dau Kolln in'n Obn, datt dĕ Melk balle an tĕ kōken fänget. 
WS4	Dei gue ohle Mann <(Minsche)> ĭs mit 'n Peere dörch 't īs ebrōjen unn in 't kohle Wo͡ater ĕfalln.
WS5	Hei ĭs vor veir oder sĕß Wochen estorben.
WS6	Dat Fü<(e)>r wăs te <(tau)> heit, dei Kauken sünd jă un['et] ganz swart ĕbrennt.
WS7	Hei ĭt dei Eir <(Ă͡er)> ümmer ohne Sŏlt unn Pepper. 
WS8	Dei Fäute daut mick helsch {mit Wellenlinie unterstrichen} weih, ick <(g)>löbe, ick hebbe se mick dörche loopen.
WS9	Ick bin biĕ Frue west unn hebbe {mit Bleistift durchgestrichen} <(hewwe)> ĕt öhr eseggt unn sei sǟ, sei wollet ōk öhre Dochter seggen. 
WS10	Ick will ĕt ōk nich<(-)>wedder dauhn.
WS11	Ick slaĕ dick gliek<(s)> mit 'n Kookleppel um e Ohrn, du Āpe <(O͡ape)>!
