---
Bogennummer: '46025'
Ort: Schwanden
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:56.294067'
...
WS1	Jm Winter flüged die türe Bletter i dr Luft umme.
WS2	Es hört gli uf [durchgestrichen ?] schniä, dä wird s'Wetter wider besser.
WS3	Tue Cholä i Ofä, as d'Milch bald afat südä.
WS4	Der guet alt Maa isch mit em Roß uff em Js durprochä und i das chalt Wasser gfallä.
WS5	Er ischt vor viär odr sächs Wuchä gschtorbä.
WS6	Ds Füür ischt zgroßes gsi, drum sind d'Chuechä undä verbrännt.
WS7	Er isset d'Eier immer uni Salz und Pfeffer.
WS8	D'Füeß tüend mer weh; ich glaubä, ich' ha Blatere.
WS9	Jch bi bi dr Frau gsi und haneres gseit, und sie het gseit, sie wells au irer Tochter sägä.
WS10	Jch wills au nümme tuä.
WS11	Jch schlu dr gli mit dr Chochchellä um d'Ohrä, du Aff.
WS12	Wo gascht hi, söläd mir mit der gu ?
WS13	Es sind schlecht Zitä.
WS14	Mi liäbs Chind, blib da undä stuh, die bösä Gäns bißäd di z'tod.
WS15	Du hescht hüt äm meischtä g'lernät und bischt brav gsi, du dörfst früenär heiguh as diä andärä.
WS16	Du bischt nuch z'chli, zum ä Fläschä Wi z'tringge, du muäscht z'ärscht nuch ä chlei wachsä und größer werdä. 
WS17	Bis so guet und säg diner Schwöschter, sie söll d'Chleider für üeri Mueter fertig büeza und mit der Bürschte butzä.
WS18	Hät äsch nä kännt, wärs anderscht chu und es schtiend besser mit em.
WS19	Wär het minä Chorb mit em Fleisch gschtolä ?
WS20	Er het därglichä tuä, as heigets ne zum Dreschä bschtellt; sie händs aber selber tuä.
WS21	Wem het er die nü Gschicht erzellt ?
WS22	Mä mues lut hürnä, sust verstat er üs nüd.
WS23	Mir sind müed und händ Turscht.
WS24	Wo mer nächtig zrugg chu sind, sind die andere schu im Bett gsi und händ g'schlafä.
WS25	Dr Schnee ischt di letscht Nacht ligge blibä, aber hüt äm Morgä ischt er gschmulzä.
WS26	Hinder üserem Huus schtünd drü schüni Öpfelbäumli mit rotä Öpfälänä.
WS27	Chänder nüd nuch es Wili uf üs wartä, dä gümer mit üch.
WS28	Jhr törfäd nüd söttigi kindäläti Sachä machä.
WS29	Üser Berg sind nüd so höch, üer sind viel höcher.
WS30	Wevil Pfund Würscht und wevil Brot wänd är ?
WS31	Jch verstun ech nüd, ihr müend e chlei lüter redä.
WS32	"Heid er * (auch ""händ er"") keis Möggli wißi Seupfä für mich uf em Tisch gfundä ?"
WS33	Sine Brüeder will für inä zwei schüni, nüi Hüser i üerem Gartä buä.
WS34	Das Wort isch em vu Herzä chu.
WS35	Das ischt recht gsi vunäm.
WS36	Was sitzed da für Vögeli uf em Mürli obe ?
WS37	D'Burä händ (heid) füf Ochsä und nün Chüä und zwölf Schäfli vor s'Dorf brungä ka, die heid sie verchaufä wellä.
WS38	D'Lüt sind hüt all dussä uf em Wasä und mäjäd.
WS39	Gang nu, dr bru Hund tuet der nüt.
WS40	Jch bi mit mine Lütä da hindä ummä über das Guet iz Heu gfarä.
