---
Bogennummer: 47862
Ort: Helgoland
Sprache: Nordfriesisch
Bogentyp: SD
Erhebung: ''
Transliterationsprojekt: Dissertation Temmo Bosse
Transliterent: Temmo Bosse
Anmerkungen: '{Das Helgoländer Formular ist eines der beiden nachträglich von Wenker
  in direkter Befragung aufgenommenen Exemplare.} </ = ſcharf abgebrochene Kürze
  −̆́ geſchloſſen, −  offen>'
...
WS01	Ūn de Wónte<(r)> flĕ́dde drī Blḗn ūnne lŏ̀ch ŏ̆́mbĕ́/
WS02	Dēt hēat bāl å p to ſsnāin, dan wà ttēt Wèdde<(r)> wḗr bḗter
WS03	Dŏ̆́ Kēl ūne Ōwen, dat dēt Mòlk bāl tŏ̀kkḗken ūnfàŋet.
WS04	De gŏ̆́/ ṓl Mànn ès mè / ſsīn Hĕ́ŋs däärt eös brḗken en ūn et kūl Wḗter fŏ̀ln
WS05	Hĕ́ ès vȫr stjūr ŏ̆́dder ſsöss Wècken stęö rre̯wen. {Hier wird nicht deutlich, zu welchem Zeichen das Breve gehören soll. Hier wurde es dem hochgestellten ö zugeordnet, das eigentlich über dem ę steht.}
WS06	De I̯ā̀l wĕ́ar tŏ̀ stārk, de Kucken ßsen önner hḗl ſswāt vörbā̀<(r)>nt.
WS07	Hé ätt de Āïer öemmer ſsöenner Ssôlt èn Pö ppe<(r)>.
WS08	De Fóttn dŏ̆́mme sḗa, èk lḗw, èk hò djàm dēērlöͥeppm.
WS09	Ek bèn bĕ́rre Wüöe,iff wḗⁱñ èn {Dieses i ist tatsächlich lediglich hochgestellt und nicht über dem ü notiert.} hò höₑret sṓit èn dje ſsṓit, dje wull heörrem Fṓmel et ŏ̆́ck sṓi
WS10	Ek wèllet ŏ̆́ck gṑr niwwḗr dŏ̆́/.
WS11	Ek ſslṓ de mĕ́jāns mèrre Lḗpel ŏ̆́mme Wā̀rn, dĕ̆́ Ṓp.
WS12	Wéăr góŋste hèn, skèlwe mèddĕ góŋ?
WS13	Dēt ſsèn ſslèch Tĭnn.
WS14	Mīn gŏ̆́ kkinn, blīw hēar önne<(r)> stŏ̆́nn, de bĕ̆́östek Gūs bĕ̆́t de dōă.
WS15	De hàs dòllóng am mḗas’n lēa<(r)>t ĕ̀n bĕ̀s ṓrtĕ/ wḗñ, de dö s ĕ̀dderer hĕ̆́nt‘ hoüĕⁱs {Unter dem Wort steht noch etwas, das nicht zu entziffern und möglicherweise ausgestrichen ist.} góng alse ūrn.
WS16	De bès nònnĭ/ grṓttenŏ̀<(χ)> tò en bō rel Wīn eöĭütttodrinken, de mŏ̆́s jā̀s wṓks ĕ̀n grṓter wö /.
WS17	Góng, wḗs so gŏ̆́/ èn sṓi dīn söste<(r)>, dje skŭl de Klḗtn fȫr djër Mḕm klṑ<(r)> sāi èn djam mèm Bòssel rīn mṓke.
WS18	Héste hèm kī, dan herret ūster wḗñ ĕ̀n dēt wḗar bḗter ŏ̆́m hĕ̀m stónn.
WS19	Wèlk hàt mīn Köerro mĕ̀f‿Flḗsk stṓln.
WS20	Hè dāit so, als hḗ djà hèm tòm drösken bestellt, djà hṑret ṓber sàllo döé̮ñ.
WS21	Wèlk hàtte de nāi Geśχichte vööēēr {Die beiden ē stehen eigentlich über den beiden ö.} snakket?
WS22	We mot dix² skrik, sonst hēarte ĕ̆́s nĭ́/.
WS23	We sĕ̀n mḗ ĕ̆́n hṑ tö è}s<(t)>.
WS24	Als we djisterĭ̆́n hent‘ hüöss kö m, dò lṓi de ūrn āl ūm Bā̀<(r)> ĕ̀n wēar fäss ūn ślöͥeppm.
WS25	Dētͥ Snĕ̆́/ ès dehīr Nṓch bĕ ĕ̆́s lāin bleöwwen, ṓber dje Mṑ<(i)>n ès dēt ſsmòltet
WS26	Bḗf ī hü ö ss stónn trē Ōpelbóamen me/ rṓa Ṓpele.
WS27	Kàn djem nĭ en Ōgenblĕ̆́ck īp ĕ̆́s tḗu̯, dàn góng we mĕ̀ddjém
WS28	Djém däönnĭ<(ch)> Sseök Kinne<(r)>spell mṓke. <(drīu̯)>
WS29	Ī Berjen sèn nĭ ōrĭ/ hṓ, dje<(rr)>emen sèn vèö hṓɣe<(r)>
WS30	Hå̀ vĕ̀l péön màrrĕ̆́ en hå̀vel brūͦa wèl djém hṑ
WS31	Ik verstónn djém nĕ/, djém mŏ̆́t em bĕ̆́tjen dichter snakke.
WS32	Hṑ djém nĭ en stéök wĭt Ssēap fōr mĕ/ īb mīn taffel fĭnn?
WS33	Ssīn Brūr wèl hèm tāu rōr nāi hīster un djerem Gōa bŏ̆́wwe
WS34	Dēt Wuö/ kȫm vàn Hàtten
WS35	Dēt wēar rĕ̀ch vàn djā̀m.
WS36	Wàt sètt dēar vöör Fénken bòppm ībpe Mī<(r)>?
WS37	De būrn hḗ fiu̯ Òssen èn nēgen kĕ̆́/ en twallo skēäp vöör dēt dȫrp brŏ̀ch, de wul djà vō̈rkṓpe.
WS38	De lĕ̆́/ <(Mènsken)> sèn dòllóng állemōl béüötten īpt stéck gā<(r)>s èn māie.
WS39	Góng màn tŏ̀, de brèöüns Hinn dāit de niks.
WS40	Ék bèn mèrre lĕ̆́ <(Mènsken)> dēar bḗf ōwer dēt gā̀<(r)>s ūn et Kòrn fö<(ä)>nn.
