---
Bogennummer: '45728'
Ort: Oberwangen bei Bern
Gid: 15985
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2023-03-23 18:38:21.744529
Änderungsdatum: 2023-03-29 17:48:51.917443
Satzversion: 1
...
WS1	Im Winter flụ̈ge die dù̱re Bletter i dr Luft ume.
WS2	Es hört gly ú̱f schneie, de besseret ds Wätter ume.
WS3	Tue Chọle i Ofe, dass d' Mìuch {zunächst andere Schreibweise, dann durchgestrichen und am Zeilenende wunschgemäss notiert}  gly chochet.
WS4	Dä guet aut Ma̱ isch mit em Rọss im Y̱sch y̱gheit ụ̀ i ds chaute Wasser gheit
WS5	Är  {zunächst 'Er', dann 'E' mit 'Ä' überschrieben} isch vor vier ọ̀der sächs Wụ̀che gschtò̱rbe.
WS6	{zunächst 'D', dann durchgestrichen} Es isch z' sta̱rchs Fú̱r gsì̱ , d Chueche sy ja ùnge ganz verbrönnt
WS7	Är isst d' Eier gäng ohni Sauz u Pfäffer.
WS8	D' Fuess tüe mer hert wè̱ , i gloube i bi dü̱rglüffe.
WS9	I bì̱ bị̀ der Frou gsì̱ ụ̀ hạres gseit, ụ̀ sị heit gseit sị̀ wöus ihrer Tochter ọ̀ {zunächst 'ou', dann 'u' durcgestrichen} sạ̈ge
WS10	I wìu's o nümmè̱ mache.
WS11	Ị gìbe dr ị̀z dẹ̀ mit em Chöuelì ufe Grìng  dụ̀ Aff.
WS12	Wohì̱ geisch, souemer mìttr chò̱ ?
WS13	Es sy̱ schlạ̈chtì Zí̱te.
WS14	Mí̱s liebe Chìng, blíb da unger sǜsch bísse dì d' Gạ̈ns z' tò̱d.
WS15	Dú̱ hesch hụ̀t am meischte glè̱rt ù bìsch liéb gsì̱, du chascht ender hei aus die angere
WS16	Dụ̀ bisch no nị̀d grò̱ss gnúe für ne Flạ̈sche Wy̱ ú̱szztrị̀nke, dù̱ múesch zersch nò̱ chly̱ wạchse ụ̀ grọ̈̀sser wärde 
WS17	Gang, bìs so guet u säg dí̱r Schweschter, sì söu d' Chleider für öíì Mueter fertig näíe u bü̱rschte.
WS18	We du ne gchennt hättisch, de wä̱rs angers ụ́se chò̱ un es stíeng besser ụ̄mị̀n.
WS19	Waär het mer my̱ Chorb vou Fleisch gschtọ̀le {zunächst 'gst' begonnen, dann 't' mit 'c' überschrieben und zu 'gschtòle' ergänzt} ?
WS20	Ạ̈r her dr Gly̱che ta̱ wị̀ wemene zum Trọ̈̀sche bstchtöut hạ̈t {'h' wird ziemlich speziell geschrieben} , ạber sì̱ heis säuber gmacht.
WS21	Wäm het er die nöíì Gschị̀cht erzöut ?
WS22	Mị mues hert brüele, süsch verschteit er is nì̱d.
WS23	Mir sy̱ nǘed }sic! muss wohl 'mǘed' heissen} ụ̀ hei Dù̱rscht
WS24	Wo mer geschter am A̱be sỵ zrụ̈̀gg chò̱  sy̱ die anfere schọ̀ im Bett gsì̱ ụ hei fescht gschlafe.
WS25	Ị der Nacht isch der Schnè̱ bị̀ ǘ̱s blíbe lì̱ge, aber hụ̈ttem Morge ischer vergange
WS26	Hinger ụ̈́sem {zunächst 'ǘ', mit Unterstrich,dann Unterstrich mit zwei senkrechten Strichlein durchgestrichen und stattdessen ein Punkt unter 'ü' gesetzt} Hú̱s stạ drǘ̱  schö̱̀nì Öpfuböímlì mìt roten Öpfelị̀
WS27	{'H' ist durchgestrichen} Chöiter nid nones Ougeblìchli ùfis warte, de chöme mir mit nech.
WS28	Dīr dörfet nid so chíndele.
WS29	Üsi Bä̱rge sy̱ nìd grad so hö̱ch, öíì sy̱ vìù hö̱cher.
WS30	Wi mängs Pfung Wurscht u wi mängs Brot weiter ?
WS31	I versta {zunächst mit Umlaut, dann Umlaut durchgestrichen}  n-ech nìd, fir müesst chlỵ lụ́tter rẹ̀de.
WS32	Heiter keis Bìtzli wy̱ssi Seife für mì̱ ùf my̱m Tisch gfunge ?
WS33	Sí̱ Brueder wott séch {zunächst wohl 'sèch', dann accent grave durchgestrichen und accent d'aigue gesetzt} zwöí schö̱ni nöíi Hụ̈́ser ị̀ öíem Garte la boue.
WS34	Das isch ị̀m vo Hä̱rze chò̱.
WS35	das isch rạ̄cht vonne.
WS36	Was sy̱ das für Vọ̈gelì ùf em Mǘ̱rli òbe ?
WS37	D' Pụ́re hei fǘ̱f Mùnine ụ̀ nǘ̱n Chǘe ụ̀ zwöuf Schä̱fli vor ds Dorf brunge. Sị̀ heise wọ̈ue verchoufe.
WS38	D' Lụ̈́t sy̱ hụ̈̀tt aui ụ̀f em Fäud ùsse ụ̀ mä̱̀je.
WS39	Gang nume, dr brú̱n Hụng tuter nǘ̱t.
WS40	Ị̀ bị mị̀tte Lụ̈́t dahinger ụ̈̀ber {es sieht so aus, als wäre 'r' durchgestrichen?} d' Matte ị̀ds Chorn gfa̱re.
