---
Bogennummer: '44872'
Ort: Zeihen
Gid: 18591
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: '{Im Seitenkopf steht mit rotem Farbstift " st = sch   eu = öi " mit
  ''st'' unterstrichen. Offensichtlich ist auch dieser Bogen von jemand Anderem durchgelesen
  und mit Rotstift korrigiert worden. Auch hier ist wieder die Übersetzung des Lehrers
  transkribiert und die roten Korrekturen sind in geschweifter Klammer mit "2.Hand:
  ..." beschrieben.}'
Erstelldatum: 2024-09-27 14:00:57.973131
Änderungsdatum: 2024-09-27 14:00:57.973131
Satzversion: 1
...
WS1	Jm Winter flüge di {zunächst 'die'} trochne Blätter i de Luft ume.
WS2	Es hört grad uf schneie, dämm <(derno)> werd s' Wätter wider {zunächst wohl 'weder'} besser.
WS3	Tue Chòle i Ofe ie, dass d' Milch bald afäd süde.
WS4	De guet alt Ma isch mit em Ross uf em Is ibbroche und i {zunächst 'ii'} s' chalt Wasser gfalle <(gheit)>
WS5	Er ischt vor vier oder sächs Wuche gstorbe {2.Hand: 'st' rot unterstrichen}.
WS6	S' Für ischt z' stark {2.Hand: 'st' rot unterstrichen} gsii, d' Chueche sind ja unde ganz schwarz a brännt
WS7	Er isst d' Eier immer ohni Salz und Pfäffer.
WS8	D' Füess tuend {2.Hand: Trema auf 'u'} mer starch {2.Hand: 's' rot unterstrichen} <(fest)> {2.Hand 's' rot unterstrichen} weh, ì glaube, i häigs {zunächst 'hägs', dann oben 'i' zwischen 'ä' und 'g' eingefügt} duregloffe.
WS9	Ēch be bi der Frau gsii und haner es gsäit, und si hed gsäit, sie wells ihrer Tochter au säge.
WS10	Ech wills au nümme {Verdoppelungsstrich auf 'm'} tue.
WS11	Ēch schlo d'r grad de Löffel um d' Ohre umme, du Aff du .
WS12	Wo go̊sch du hee, selled <(müend)> mer au mit go̊
WS13	Es sind schlechti Zyte.
WS14	Liebs Chind, blieb {2.Hand: 'e' rot durchgestrichen} do unde sto̊h {2.Hand: 'st' rot unterstrichen} suscht biisse di di böse Gäns z' tod.
WS15	Du hesch hütt am meiste {2.Hand: 1.'e' rot unterstrichen und 'ä' rot darüber geschrieben; 's' rot unterstrichen} glehrt und bischt brav gsii, du darfst hütt eender häi, als di andere.
WS16	Du bischt no z' chlii, für ne <(um e)> Fläsche Wii usz'trinke, du muescht no e chli wachse und grösser wärde,
WS17	Gang, bis so guet und säg diner Schwöster {2.Hand: 's' rot unterstrichen}, si söll d' Kleider {2.Hand: 1.'e' rot unterstrichen und mit 'ä' überschrieben} für d' Muetter fertig näje, und mit der Borschte {2.Hand: Trema auf 'o'} sŭŭber mache
WS18	Wenn de du kännt hettischt  so wärs andersch cho und es stiend {2.Hand: 's' rot unterstrichen} besser mit em <(um en)>
WS19	Wer hed mer mi Chorb samt em Fleisch  gstóle {2.Hand: 's' rot unterstrichen}.                                  
WS20	Er hed e so to̊, wie wenn si in zum Drö̀sche bschtellt hättet, sie händ s aber selber to̊.
WS21	Wem hed er die neue Gschichte verzellt.
WS22	Me muess lut brüele, suscht verstoht {2.Hand: 's' rot unterstrichen} er is nid.
WS23	Mer sind müed ind händ Dōrscht.
