---
Bogennummer: '18275'
Ort: Allentsteig
Gid: 10110
Transliterationsprojekt: REDE
Transliterent: Lisa Dücker
Erstelldatum: 2025-11-04 15:54:37.437685
Änderungsdatum: 2025-11-04 15:54:37.437685
Satzversion: 1
...
WS1	In Winta fliagn <flign> de drŭckan Black i <in> dr Lŭfd ŭmatŭm <(ŭmanādeda)>.
WS2	Es head glei aŭf zau Schneiem <Schneim>, nocha wird's Weda wida bēssa.
WS3	Tua <Tu> Koin in Efa, daß d' M[ŭ]li boid āŭfaūngd <āŭfaūŋd> zan Kacha.
WS4	Da gŭade oid[i] Māŭ is min' Roß dŭachs Eis dŭachbrocha ŭnd <(is)> ins koide Wossa gfoin.
WS5	Ea is voa via <vi> odr sex Wochan gstoam.
WS7	Ea ißt d' Ea ola[nn]ŭ ohne Soiz und Pfēffa.
WS9	I bi̇̄ bei dr Fraŭ gwesn ŭnd hob ia's gsogt, ŭnd sie hod gsogt sie sagt's och ihra Dochta.
WS11	J haŭ di glei mid'e Kōchleffi iwa d' Oawaschla, dŭ Off!
WS15	Dŭ host he͡id am meista gle͡and ŭnd bist brav gwesa, dŭ deafst friacha <friaa> hoamge͡i wia <[ois]> de a͡ndean.
WS17	"Geh, sei so gŭad ŭnd sog deina Schwesta, si soi d' Gwandr fia ēnga {""#"" über n gezeichnet, ""xx)"" über a gezeichnet. Auflösung dieser Zeichen am Blattrand, transliteriert unter ""Original Kommentare zum Bogen""}"
WS19	"{""O)"" direkt hinter der Ziffer notiert. Auflösung dieses Zeichens am Blattrand, transliteriert unter ""Original Kommentare zum Bogen""} Wea hod mā ēn K[oei] mi de Fl[e]isch gestoin? <(W. h. miā en Koab mi de F. g.?)>"
WS20	Ea hod aso d[ā]ŭ, ois waun s'n zan dresche beschd[e]id hedn; sē hāŭm's owa s[ŭ]iwa <s[ŭ]wa> daŭ.
WS24	Wia <Ois> miā gēstan [a]ūf d' Nochd hoām kēma s̄and, do hān de a͡ŭnan schāŭ [in] Bett gleŋ ŭ. hāŭn fest gschloffa.
WS26	Hinta ŭnsam Haŭs steŋan <stengan> drei schēni Epfibāmal mid rode Aepfal.
WS32	Hobts es koā Stickl w[a]iße Soaf fia mi aŭf mei[n] Disch <(ned)> gfŭnde?
WS33	Sēi Brŭada wü si zwoa schēni neihi Heisa in engan Goade bāŭ.
WS34	Des Ward is e͡am va͡[nn] Heaze kēima.
WS36	Wos sitze de do via Vegal drom aŭf dem Mēial <Mēil>?
WS37	D' Baŭn hāŭm finf Exe ŭ. nēin Ki̇̄a ŭ. zwöif Schōf aŭssa's <assa's> Doaf brochd, de hāŭnn s' vakafa wöin.
WS38	D' Leid sān hēid oli draūßt am Foid ŭnd mān.
