---
Bogennummer: '44907'
Ort: Fislisbach
Gid: 16152
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2024-05-20 15:39:52.668648
Änderungsdatum: 2024-05-21 18:40:19.060163
Satzversion: 1
...
WS1	Ìm wi̇̀nter flüüge {zunächst 'flüge'} di trochchne {zunächst 'trochne'} blètter ume̊nand.
WS2	E höört {zunächst 'hȫrt'} grad uuf schnèie, dänn wird sWätter wi̇̀der besser.
WS3	Tuè chòle̊ {zunächst 'kòle̊'} i̇̀n òfe, dass d' mi̇̀lch bald afangt chòche.
WS4	Dr guet alt maa ischt {zunächst 'ist'} mitem ròss {zunächst 'Pferd'} dùrs iis brochche {zunächst 'broche'} ùnd i̇̀s wasser gfalle.
WS5	E̊r ischt {zunächst 'ist'} vor vièr òder sächs wōche gstōrbe.
WS6	S füür isch zschtarch {zunächst 'zstarch'} gsii {zunächst 'gsi'}, d' chuèche send iò {zunächst 'jo'} ùnde ganz schwarz brännt.
WS7	E̊r isst d' [ä̀]ier {zunächst wohl 'eier' ?} alewiil <(auch: emmer)> ōni salz und pfäffer.
WS8	Pfüè-ss tüèmer wee, i glaub {zunächst 'glaube'}, i ha {zunächst 'has'} si dùrlaufe.
WS9	I be bi dr {zunächst 'bider'} frau gsii und haner-ès gsèit, ùnd si häd gsèit, si wèlls au i̇̀re tochter säge.
WS10	I wi̇̀lls au nǜmme tuè.
WS11	"I schloo der grad mi̇̀t e̊m chòchlöffel um t' oore {zunächst ""d' ""} ùme, du aff !"
WS12	Wo gòscht {zunächst 'gòst'} ane, sö̀lle̊me̊r  mit dt {zunächst 'miter'} gòò.
WS13	Ès si̇̀nd schlächtì ziite.
WS14	Mi lièbs chi̇̀nd, bliib dòò ùnde stòò, diè bööse gäns biisse di tot.
WS15	Du häscht hǜt am mäischte {zunächst 'meiste'} glēērt {zunächst 'glēhrt'}, ùnd bi̇̀scht {zunächst 'bist'} artig gsii, du darfsch früijer {zunächst 'früjer'} <(auch: früène̊r')> häigò {zunächst 'heigo'} als di ande̊re̊.
WS16	Du bisch noni gross gnuè fǜr e̊ fläsche usztri̇̀nke, du muèsch erscht {zunächst 'erst'} nòchli wachse ùnd grösser wèrde,
WS17	Gang, bi̇̀s so guèt, sääg diner schwö̀schter {zunächst 'schwö̀ster'}, si sètti d' chleider fǜr  euri {zunächst 'eure'} muèter ferttig {zunächst 'fertig'} nèije {zunächt 'nèie'} ùnd mi̇̀t dr böörschte {zunächst 'böörste'} suuber {zunächst 'rein' getippt, manuell durchgestrichen und manuell 'suuber' darüber geschrieben} mache.
WS18	Hèttisch {zunächst 'Hättisch'} du e̊n {manuell 'e̊n' über '[e]n'} kännt !  dänn wärs anders choo, ùnd e̊s tèti {zunächst 'täti'} bèsser umēn {zunächst 'umén'} stò.
WS19	Wer hèd mèr {zunächst 'ht mèr', dann 'he' getippt, dann manuell 'd' angefügt} mi̇̄n choorb mi̇̀t fläisch {zunächst 'fleisch'} gschtòle {zunächst 'gstòle'} ? 
WS20	È̀r hèt e̊so tòò, as hèttet {zunächst 'hätet'} si e̊n zùm Trö̀schsche {zunächst 'Drö̀sche'} bschtèllt {zunächst 'bstèllt'} ; si händs aber sälber {zunächst 'selber'} gmacht.
WS21	Wèm hätter {zunächst 'häter'} di nö̀i {zunächst 'neui' getippt, dann manuell durchgestrichen und manuell 'nö̀i' darüber notiert} gschēcht {unklar, welcher Akzent auf 'e' gilt: Querstrich oder durchgestrichen oder Akut ?} verzèllt {zunächst 'verzält' getippt, damm 'ä' mit manuellem 'è' überschrieben und 2.'l' eingequetscht} ?
