---
Bogennummer: '10846'
Ort: Haintchen
Gid: 99311
Erstelldatum: 2019-11-21 14:42:58.572054
Änderungsdatum: 2021-12-22 14:12:35.691325
...
WS1	Im Wenter flöien die treue Blärrer durch die Loft herim.
WS2	Es hort gleich of se schneien, da wird das Werrer wierer besser.
WS3	Thou Kohlen in den Owe, das die Milch o se koche fingt.
WS4	Der goure alt Mann is met dem Pferd dorchs Eis gebroche un ens kalt Wasser gefalle.
WS5	Er is für vier oder sechs Woche gestorbe.
WS6	Das Feuer wer zu haß, die Kouhe sein jo unn schworz worn.
WS7	Er ißt die Eier immer ohne Salz und Pfeffer.
WS8	Die Feuß thon mir sehr wih, ich glabe, ich habe sie durchgelafe.
WS9	Ich bin bei der Fra gewest en hon ´ser gesoht, un sie soht, sie wollt es ach ihrer Tochter son.
WS10	Ich will es ach nett mehr werer thou.
WS11	Ich schlo dich glaich met dim Kochlöffel um die Ohrn, du Aff!
WS12	Wo gehst du hi, solle mir met dir geh.
WS13	Es sein schlechte Zeire.
WS14	Mei löibes Kind, bleib höi une steh, die bise Gans beise dich tudt.
WS15	Du host heute om mehrsten gelernt und bist ortig gewest, du derfft früher nach Haus geh als die anere.
WS16	Du bist noch net groß genunk um ei Flasch Wei auszetrenken. Du muß erst noch ein Enk wohse un grißer wern.
WS17	Gih, sei su gout un soh deiner Schwester, sie soll die Klarer für eure Mutter fertig nähe und mit der Birst rei mache.
WS18	Häste ihn gekannt, dann wäre es aners gekomme un es thät besser um ihn stehn.
WS19	Wer hot mir mein Korb mit Flasch gestohle?
WS20	Er thut so, als hätte sie ihn zum dreschen bestellt; se howe es ober selbst gethon.
WS21	Wem hot er die neue Geschichte erzählt?
WS22	Man muß laut schreie, sost verstieht er us nit.
WS23	Wir sein meuh und hon Dorst.
WS24	Als wir gester Owend sreck kome, do locke die Annere schun em Bett un worn fest om schlofen.
WS25	Der Schnie es des Nocht bei os leihen gebliewe, ower heute Morge iß er geschmolze.
WS26	Hener userm haus stieh drei schine Äppelbäimcher met rure Aeppelcher.
WS27	Kunt ihr net noch an Aagenblickchen of us worten, da gehn wir mit euch.
WS28	Ihr derft net solche Kennereien treiwe.
WS29	Us Berge sein nit sehr huch, die euren sein viel hicher.
WS30	Weiviel Pound Worscht und weiviel Brut wollt ihr ho?
WS31	Ich verstih euch nit, ihr mußt e bische lauter spreche.
WS32	Hot ihr kei Steckche weiß Saf für meich of meinem Tesch gefunne.
WS33	Sei Brourer will sich zwa schine neue häuser in euerm Gorte baue.
WS34	Das Wort kom ihm vom Herzen.
WS35	Das wor recht vo ihn!
WS36	Was setze do für Vielercher owe of dem Mäuerche?
WS37	Die Bauern horre fünf Ochse un neu Keuh un zwelf Schäfercher für das Dorf gebrocht, dei wollte se verkafe.
WS38	Die Leute sein heut all drauß of dem Feld und mähe.
WS39	Gih nur, der braune hund thout der naut.
WS40	Ich sei met den Leuten do henn über die Wieß ens Korn gefohrn.
