---
Bogennummer: 51186
Ort: Bergen
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: ''
Anmerkungen: ''
...
WS01	In'n <(in den)> Winte flēg'n dē drȫg'n Bläṙe dör̥ch dē Luft her̥rüm.
WS02	Dăt hǖrt glīk up tō schnīj'n <(snīj'n)>, denn wăt dăt Wēṙe bēte.
WS03	Lĕg <(dō)> Kāōl'n in dĕn Aob'n, dat dē Mĕlk băld ăn tō kaok'n fängt <(fänkt)>.
WS04	Dē gōṙe olln Mann ĭs mit dat Pir̥d dör̥ch't Īs braok'n un in dat kŏlln Wāōte fŏll'n.
WS05	Hē ĭs vȫr vīr̥ ŏṙe sö̆s Woch'n stor̥b'n.
WS06	Dăt Fǖr̥ was tō hēt, dē Kōk'n sünd jō unne ganz schwar̥t <(swar̥t)> brennt.
WS07	Hē ĕt dē Eie ümme āōne Sŏlt un Pēpe.
WS08	Dē Fȫt dōn mī sī wē, ick glȫw, ick hĕw se dör̥ch lōpen.
WS09	Ick bü̆n bī dē Frū wēst un hĕw ēr̥ dat segt <(secht)>, un se sǟṙ, se wĕll dat ōk ēr̥ <(ēr̥n)> Dochte seggen.
WS10	Ick will dat ōk nich <nīr̥> wĕṙe dōn.
WS11	Ick schlāō <(slāō)> di glīk mit dĕn Kaoklēpel ü̆m dē Ūr̥n, du Aop.
WS12	Wur̥ gē dū hĕn, sȫll'n wī mit dī gāōn
WS13	Dat sünd schlĭchte Tīd'n.
WS14	Mīn lēwes kind, blīw hīr̥ unne stāon, dē bȫsen Gȫs bīt'n dī dōd.
WS15	Du hĕß hǖt am meisten <(mīr̥sten)> līr̥t un büß ōr̥rig west, du dör̥wst īre <(eher)> naoh Hūs gāon ăs dē Annen.
WS16	Du büß nŏch nich grōt nōg <(nōch)>, ü̆m ēne Bŭtt'l <(Flasch)> Wīn ŭttōdrink'n, du mȫst nŏch ēn Ĕnn wăss'n un grȫte wār̥d'n.
WS17	Gāo, wes so gōd un sĕg <(sech)> dīn Schwĕste, se sŭll de Klēṙe vȫr̥ jūje Mudde far̥rig neij'n un mit de Bö̆st rein māōk'n.
WS18	Har̥rst du em kennt! denn wīr̥ dăt annes kāōm'n un das stünn bēte ü̆m em <(deṙ bēte stāōn)>.
WS19	Wekke <(selten wer̥)> het mī mīn'n Kor̥f mit Flēsch stāol'n?
WS20	He dēṙ sō, as har̥r'n sē ĕm tō't <(tō dat)> Dö̆schen bĕstellt, sē hebben dăt ȫwe süllst <(sülw)> dāon. 
WS21	Wekken <(wen)> hĕt hē dē nīje Geschicht vĕtellt.
WS22	Man mȫt lūd <(lūṙ)> schrij'n, sünst vestēt he uns <(ēn'n)> nich.
WS23	Wī sünd mȫṙ un hebben Döst.
WS24	As wī gĭsten Āobend tōrü̆ch kēm'n, don <(dor̥)> lēg'n dē Annen ăll tō Beṙ un schlēp'n fast.
WS25	Dē Schnē ĭs dĭsse Nacht bī uns lĭgg'n blēb'n <(blēw'n)>, ȫwe hǖt Morgen is he schmölt.
WS26	Hinne uns'n Hūs stāon drē schöne Eppelbȫmings mit lütte rōṙe Eppel.
WS27	Kȫn'n jī nich nŏch ēn'n lütt'n Ōg'nblick up uns töben <(töw'n)>, denn gāōn mī mit juch.
WS28	Ji dör̥b'n nich sōne Kĭnnerīen drīw'n.
WS29	Juje Bar̥g sünd nich hoch, uns'n sünd vēl hȫje. 
WS30	Wūr̥vēl Pund Wust un wūr̥vēl Brod will'n ji hebb'n.
WS31	Ick vestāo juch nich, ji mȫt'n ēn bēten lūṙe sgrēk'n.
WS32	Hĕbb'n ji kēn Stücking <(besser k. lüttes Stück)> witte Sēp fȫr̥ mī up minnen Disch fun'n.
WS33	Sīn Brōṙe will sich twē schöne nīje Hǖse in juj'n Gōr̥'n buj'n.
WS34	Dat Wūr̥d kēm em von Har̥zen.
WS35	Dăt was recht von ēn!
WS36	Wăt sitt'n dŏr̥ för̥ Vöglings baob'n up de lütte Mūr̥?
WS37	De Būr̥'n har̥r'n fīw Ossen un nēg'n Keu <(Koi)> un twölw Schöpings <(besser lütte Schaop)> vör̥ dat Dör̥b brö̆cht, dē wull'n sē vekȫpen.
WS38	De Lǖṙ <(Lǖd)> sünd hǖt all būteb up dat Fĕld un meij'n.
WS39	Gāo man, de brūne Hund det dī nicks.
WS40	Ick bün mit de Lǖṙ daor̥ hinn ȫwe dē Wisch in't <(für in dat)> Kūr̥n fǖr̥t.
