---
Bogennummer: '33730'
Ort: Nauheim
Gid: 100502
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Rolf Kanert
Erstelldatum: 2025-01-22 11:18:21.697831
Änderungsdatum: 2025-01-22 12:56:55.945285
Satzversion: 1
...
WS1	Im Winter flieje die trockne Blärrer dorch die Luft herüm.
WS2	Es hört gleich uff se schneige, dann werds Werrer wirrer besser.
WS3	Thu Kohle in de Owe, damit die Milch bal ofängt se Koche.
WS4	Der gūre alte Mann eß mit seinem Gaul dorch's Eis gebroche un in's kalte Wasser gefalle.
WS5	{fehlt}
WS6	Das Feier war zu haß, die Kuche sein jo unn[e] {letzter Buchstabe schwer erkennbar vermutl. wg. Tintenfleck} ganz schwarz gebrennt.
WS7	"Er ißt die Aier {""immer"" fehlt} ohne Salz und Peffer."
WS8	Die Füß thun me ebbes wäih, ich glab ich honse dorchgelafe.
WS9	"Ich war bei de Fra gewese un honser gesaht, un sie hot gesaht, sie wollts ach ehre Tochter saun {sic! ""säge"" wurde ausgestrichen und durch ""saun"" ersetzt}."
WS10	Ich wills ahnet meh wirrer thu.
WS11	Ich schlaun Dich gleich mirrem Kochlöffel im die Ohrn, Du Aff.
WS12	Wo gehst de dann hen, solle ma mit dehr geh?
WS13	Es sind schlegte Zeite.
WS14	Mei lieb Kind, bleib do unne steh', die böse Gens beiße dich todt.
WS15	"Du host heut am mehrst gelernt, und wast {sic!} artig, de derfst früher n[oc]h Haus {""gehen"" nicht übersetzt} als die annern"
WS16	De bist noch net groß genunnk um ne Flasch Wei ausetrinke, du mußt erscht noch e En wachse un größer werrn.
WS17	"Geh he, sei so gut un sauk deiner Schwester sie soll die Karrer {""für eure Mutter"" nicht übersetzt} fertig nehe un mit der Berscht rein mache."
WS18	Häst de en gekennt, dann wärs anners gekumme un es thät besser mirem steh.
WS19	Wer hat mir mein Korb mit Fleisch gestohle.
WS20	Er hot so gethu, als hen se en zum Dresche bestellt, sie huns aber selbst gethu.
WS21	Wem horer die neu Geschicht erzählt?
WS22	Man muß laut greische sunst versteht er am nit.
WS23	Mer sein müd und hon̄ Dorscht
WS24	Als mer gestern Owend serick k[o]m̄e sein, lagen die Annern schun im Bett un warn fest am Schlof.
WS25	Der Schnee es heunt Nacht leie gebl[ew]e, aber heut Morgend es er geschmolze.
WS26	Hinner unserm Haus stehn 3 schäine Ebbelbäume mit rore Ebbel
WS27	Kennt ehr nit noch an Ageblickche uff uns warte!
WS28	Ehr derft net solche Kindereie treiben.
WS29	Unsre Berge sein net sehr hoch, die eiern sein vel <vel> {evtl. zur Verdeutlichung darübergesetzt} heher.
WS30	Wie vel Pund Worscht un wie vel Pund Brod wollt ehr ho?
WS31	Ich versteh euch net, ehr mißt lauter schwetze.
WS32	Het ehr ka Stückelche weis Safe uf meim Tisch fer mich gefunne.
WS33	"Sei Brurrer will sich 2 <zwa> schene {""neie"" wurde nicht übersetzt} Häuser in eiern Gate bauen!"
WS34	Das Wort kam em von Herze
WS35	Das wa {sic!} recht vun em.
WS36	Was sitze dort fe Volecher uwe uf em Mäuerche?
WS37	Die Bauern han fünf Ochse, neun Küh un 12 Schefercher vors Dorf gebracht un wollte sie verkafe.
WS38	Die Leit sein heit all draus ufem Feld und mehe.
WS39	Geh nor der braune Hund thut deer nicks.
WS40	Ich sein mit den Leit dohinne über die Wiese ins Korn gefahrn.
