---
Bogennummer: '23468'
Ort: Bösensell
Gid: 103621
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Regina Elisabeth Morgen
Erstelldatum: 2025-10-05 16:08:26.910769
Änderungsdatum: 2025-10-05 16:52:22.478364
Satzversion: 1
...
WS1	Jn'n Winter fleiget de drügen Bliäder dör de Lucht herüm.
WS2	Et höät glik up te snijen, dann wöät dat Wiäder wiär biäter. 
WS3	Doh {siehe unten Anmerkung <“o“ mit x geschlossen>} Koallen in den Oawen, dat de Miälk boll an't koaken fänkt. 
WS4	De gudde o͜all͜e Mann is met dat Piät dör dat Jes broaken, un in dat kolle Water fallen
WS5	He is för veer bes ses Wiäke st͜oa͜rw͜en
WS6	Dat Füer was te heet, de Koken <“o“ mit x geschlossen> {siehe Anmerkung unten} siṉt ja <“a“ mit x niederdeutsch>  unner gans schwatt brent.
WS7	He ett de Eier alltit ahne <“a“ mit x niederdeutsch> Salt <“a“ mit x niederdeutsch> un Piäper. {siehe Anmerkung unten}
WS8	De Föte <“o“ mit x geschlossen> do't <“o“ mit x geschlossen> mi eislike wee, ik läuwe ik hebbe se kaout laupen
WS9	Jk bin bi de Frau west un heb't öhr segt, un se sag mi, se wollt auk öhre öhre Dachter <“a“ mit x niederdeutsch> seggen. 
WS10	Jk will't auk nich m͜ie͜r dohn. <“o“ mit x geschlossen>
WS11	Jk sla <“a“ mit x niederdeutsch> di glik met den SLeif üm de Ahren <“a“ mit x niederdeutsch>, du Ape!
WS12	Wo gaist du henn, säll <“a“ mit x niederdeutsch> wie met di gahn <“a“ mit x niederdeutsch>?
WS13	Et sint slechte Tiden!
WS14	Min laiwe Kind bliev hier unnen stahn <“a“ mit x niederdeutsch>, de bäusen Gäuse bit't di daut. 
WS15	Du hest hüte am meesten lärt, un büst adig west, du drafst fröer <“o“ mit x geschlossen> na <“a“ mit x niederdeutsch> Hus gahn <“a“ mit x niederdeutsch>, as de Aneenn.
WS16	Du büst nach <“a“ mit x niederdeutsch> nich graut genog <“o“ mit x geschlossen> um en Fläske Win ut te drinken, du mos eäst noch <“o“ mit x geschlossen> lük wassen un grötter weäden. 
WS17	Gah <“a“ mit x niederdeutsch>, sie so gud un seg dine Süster, se söll de Kleder vör ju Moder <“o“ mit x geschlossen> ferrig na͜i͜en un met den Bö͜ässek rain maken. 
WS18	Hädd'st du em kennt, dann wöert anders ku͜e͜m͜men, un et dei biätter üm em stahn <“a“ mit x niederdeutsch>.
WS19	Wel hef mi mieen Koarf met Flesk stoallen?
WS20	He dai so, as hädden se em to't d͜e͜äs͜ken kr͜ie͜g͜gen se heb't oawer <“a“ mit x niederdeutsch> sölfst daun. 
WS21	Well hef he de n͜i͜e Geschichte vörtellt?
