---
Bogennummer: '44670'
Ort: Sommeri
Gid: 16284
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2026-03-20 18:07:54.113524
Änderungsdatum: 2026-03-20 18:24:39.241009
Satzversion: 1
...
WS1	Em Wentar flügat di trochna Blättar i da Loft oma.
WS2	S' hört grad uf schneia, denn wert's {zunächst 'wirt', dann 'i' mit 'e' übertippt} Wettar wedar bessar.
WS3	Tua Chola in Ofa, dass d' Milach bald ōfat z' chocha.
WS4	Da guat alt Mō ischt mit am Ross dors Is brocha und is chalt Wasser innagfalla <(innagheit)>
WS5	Er ischt vor viar odar sechs Wocha g'schtorba.
WS6	S' Füür ischt starch gsi, d' Chuacha send onnerhalb ganz schwarz verbrännt.
WS7	Er esst d' Eiar all oni Sālz ond Pfeffar.
WS8	D' Füass tōd mar fest weh, i glaub i hos dorglaufa.
WS9	I bi bi da Frau gsi ond hon ara's gsat, ond si, ond si het gsat, si wellis au ehrar {zunächst 'ihrar', dann 'i' mit 'e' übertippft Töchter säga.
WS10	I wells au nüma tō !
WS11	Ihau dar grad mit am Chochlöffal om d' Ohra oma, du Aff !
WS12	Wo gohscht he, sölat {zunächst 'söölat', dann 2.'ö' durchgestrichen (mit '/' übertippt)} mar met dr cho.
WS13	Es send schlechti Zīta.
WS14	Mi liabs Chend, blib do onna schto, di bösa Gäns bissat di tot.
WS15	Du häscht höt am maischta glert ond hescht artig tua <Bischt brav gsi)>, du darfscht früanar ho go als di Ona.
WS16	Du hescht no nöd gross gnuag, om {zunächst 'zom', dann 'z' mit '/' ¨übertippt} a Fläscha <(ä = fast wie a)>  us z' trinka, du muascht zerscht nochli wachsa ond grössar werda.
WS17	Gang, bes so guat ond säg dinar Schwöschtar {zunächst 'Schwöst', dann 't' mit 'c' übertippt} , si söll d' Kleidar för eri Muattar fertig macha ond mit da Börschta subar macha. 
WS18	Hettascht da kennt, dänn wär 's andarscht cho, ond s' tät bessar oman schto {zunächst 'st', dann 't' mit 'c' übertippt und 'schto' getippt}..
WS19	Wer hod mar min Chorb mit Flaisch g'schtola ?
WS20	Er hod so tua, als hod mar en zom Tröscha b'scht[a]llt {unsicher ob 'e' mit '' übertippt oder umgekehrt}, si hods abar selbar {Zeilenumbruch} {'abar' ist durchgestrichen} selbar to.
WS21	Wemm had er di neu G'schicht verzellt ?
WS22	Ma mua lut schreia, soscht verschtot er üs nöd.
WS23	Mer send müad ond hod Dorscht.
WS24	Wo mar gescht Obad hom cho send, do send di Andara scho im Bett gsi ond send fescht am Schlofa gsi.
WS25	Da Schnee ischt hüt z' Nacht  <oder die Nacht)>  bi {zunächst 'bis', dann 's' durchgestrichen}  üs ligga bliba, abar hüt Morga ischt er gschmolza <(oder verganga)>
WS26	Hendar üsam Hus stod drü schöni Oepfelbömli mit rota Oepfali.
WS27	Chöndar öd no en Augablick warta, denn gommer mit eu.
WS28	Ir törfat öd derigi Chindereia triba.
WS29	Üsari Bärg send öd höch, euari send vill höchar.
WS30	Wevel Pfond Wörscht ond wevel Brot wod ar {zunächst ''wönd-ar', dann durchgetrichen und 'wod ar' über der Zeile getippt} ho.
WS31	I verstoh eu öd, ihr mod achli lütar reda.
WS32	"Hod 'r ko  {zunächst ""rko"" zusammen geschrieben, dann manuell mit senkrechtem Strich getrennt} stückli Sapfa für mi uf mim Tisch gfonda ?"
WS33	Sin Brüadar will sich zwa schöni neui Hüsar i euem Garta baua.
WS34	Das Wort isch em vo Herza cho !
WS35	Das isch recht gsi vo eu.
WS36	Was setzat do för Vögali ofem Mürli ?
WS37	D' Bura {zunächst 'Buara', dann 1.'a' mit '/' übertippt} hod {zunächst 'Hod', dann 'H' mit 'h' übertippt}  füf Ochsa {ist zusammengetippt: 'füfOchsa'} ond nü Chüa ond zwölf  Schöf vor 's Dorf brocht, dia hods wella verchaufa.
WS38	D' Lüt send hüt alli ofem Fäld ussa {zunächst 'ofem ussa' getippt, dann über der Zeile im Zwischenraum 'Fäld' getippt} ond maiat.
WS39	Gang no da bru Hond tot {zunächst 'tuat' getippt, dann manuell durchgestrichen und manuell darüber 'tot' notiert} dr nünt.
WS40	"I bi mit da Lüta do hina öber d' Wes i s' Chorn {zunächst ""öber s' Chorn"", dann über der Zeile ""d' Wes i"" getippt und mit manuellem Strich an der richtigen Stelle eingefügt} gfahra."
