---
Bogennummer: '45234'
Ort: Kaltacker
Gid: 546095
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: ''
Original Anmerkungen: ''
Erstelldatum: 2023-01-12 17:42:33.983854
Änderungsdatum: 2023-01-30 13:00:29.506972
Satzversion: 1
...
WS1	Im Winter flüge di trochene Bletter i der Luft desume.
WS2	Es hört baḷ uf z' schneije, de wird ds Wätter ume besser.
WS3	Tue Chole i Ofe, dass d' Mil̥ch bal̥ afot choche.
WS4	Dr guet al̥t Ma ist mit em Ross dür 's Ysch broche u i das {zunächst 'ds', dann 'a' oben zwischen 'd' und 's' eingefügt} chal̥te Wasser gheit.
WS5	Er ist vor vier oder sächs Wuche gstorbe.
WS6	Ds Füür ist z'starch gsi, d' Chueche si ja unt̥efer ganz schwarz bränntet.
WS7	Er isst d 'Eier gäng ohni Sal̥z u Pfäffer.
WS8	D' Füess tue mer mordsmässig weh, i gloube, i heig si düre glouffe.
WS9	I bi̩ bị der Frou gsi u ha r es gseit, u sie het gseit, sie wel̥lis de ihrer {zwischen 'h' und 'r' steht unter der Zeile ein kleiner Punkt: ein Drecklein?}  Tächter au säge.
WS10	Ii wotts ou nümme meh einischt mache.
WS11	I schla der bal̥ mit em Chochlöffel̥ um d' Ohre, du Aff !
WS12	Wo wosch hi, söl̥le mer mit der cho <[goh]> {Der Lehrer schreibt 'goh' in eckigen Klammern.}
WS13	Es si schlächt Zite !
WS14	Mis liebe Chind̥ , blib hie unt̥er stah, die böse Gens biisse di z' tod.
WS15	Du hest hü̩t am meiste glehrt u bisch brav gsi, du darfsch frücher {zunächst 'früjer', dann 'j' durchgestrichen und 'ch' darüber geschrieben}  hei wëder die and̥ere.
WS16	Du bisch no nit gross gnue, für ne Fläsche Wii usztrinke, du muesch {zunächst 'muesst', dann 'st' einzeln durchgestrichen und 'ch' darüber geschrieben}  z'erst no chli waxe u grösser wärde.
WS17	Gang, bis so guet u säg dir Schwester, si sötti d' Chleider für euji Mueter fertig näje u mit der Büste {sic!} suber mache.
WS18	Hättsch du ne g'chennt ! de wärs and̥ers cho u stieng besser  {'um ne' die Buchstaben sind einzeln durchgestrichen}  mit ihm.
WS19	Wär het mer mi Chorb mit Fleisch gstole ?
WS20	Er het to, wie we se ne für s'Drösche bstel̥lt hätte; sie hei's aber sälber gmacht.
WS21	Wäm het er die nöiji Gschicht erzellt ?
WS22	Mi mues lut brüele, süsch versteit er is nit.
WS23	Mir si müed u hei Durst.
WS24	Wo mer gester am Oobe zrugg cho si, si di and̥ere scho im Bett gsi u si fest am schloffe gsi.
WS25	Bi n üs ist der Schnee die {'die' ist unterstrichen}  Nacht blibe lige, aber hüt am Morge isch er gschmolze.
WS26	Hint̥er üsem Hus stö drü schöni Öpfelböumli mit rote Öpfeli.
WS27	Chöit d'er nit no nes Ougeblickli uf is warte, de göh {darunter steht:} <<chöme>>  mer mit ech.
WS28	Dir dörfit nit eso chind̥ele.
WS29	Üser Bärge si nit so höch, euji si viel höcher.
WS30	Wie mängs Pfund̥ {der Kringel steht unter dem Wort, zwischen 'n' und 'd'}  Wurst u wieviel Brot weit dr <(ha)> ?
WS31	I verstohn ech nit, dir müesst e chli luter rede.
WS32	Heit er keis Stückli wiissi Seiffe für mi ufmim {zunächst wohl 'uf em', dann zwischen den beiden Worten 'm' eingeklemmt und 'e' mit 'i' überschrieben} Tisch fund̥e ?
WS33	Si Brueder wott für ihn zwöi schöni neui Hüser in euem Garte boue.
WS34	Das Wort isch ihm vom Härze cho.
WS35	Da isch rächt vo ne gsi.
WS36	Was hocke da für Vögeli oben uf em Müürli ?
WS37	D' Bure hei füf Stiere u nün Chüe u zwöl̥f Schööfli vor ds Dorf brunge, di hei si welle verchouffe.
WS38	D' Lüt si hüt alli duss uf em Fäl̥d u tüe mäje {zunächst 'u mäje', dann 'tüe' oben im Wortzwischenraum eingefügt} .
WS39	Gang ume {zunächst 'nume', dann 'n' durchgestrichen} , dr brun Hund̥ tut dr nüt.
WS40	I bi mit de Lüte da hind̥er uber die Matte i d's Chorn gfahre.
