---
Bogennummer: 34378
Ort: Tauberbischofsheim
Sprache: Deutsch
Bogentyp: SD
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Victoria Schaub
Anmerkungen: ''
...
WS01	Im Wind'r fliacha die truckene Blétter in d'r Lufr rüm.
WS02	S'hört glei uff zu schnäua, drnoch wärds Wätter wieder besser.
WS03	Du Kouhla nei d'Oufa, daß die Milch bald zu kocha aṵfängt.
WS04	D'r gutte alte Mon̰ iß mitt'm Gaul nei's Eis gabrocha und nei's kōlte Wasser gfalla.
WS05	Er iß vor vier owér sechs Wucha gschtorba.
WS06	S'Feuer wōr zu schtōrik, die Kucha senn jō unna ganz schwōrz gebrän̄t.
WS07	Er iß die Aar immer ohne Sōlz und Pfeffer.
WS08	Mei Fǖß dum'r ōrch weh, i glab i hō sie durch glŏffa.
WS09	I binn bei d'r Frā gwēsa und ho s'r gsogt und sie hott gsogt, sie wöllt's ihr'm Mādle sōga.
WS10	I will's ā nim̄i dua.
WS11	I schlōg d'r glei mit'm Kochlöffel a Bōr hin̄'r d Ohra, du Aff!
WS12	Wo gehst'n non̰, sölla m'r mĭt gēhna.
WS13	Sann schlechte Zeita.
WS14	Mā liebs Kind, blei unna schtehna, die böse Gäns beißa di dōt.
WS15	Du hŏst heut am mérsche glérnt und bist brōv gwäst, du därfst eher hām wie die annern.
WS16	Du bist no nitt groß gnug a Flăscha Wein auszatrinka, du mußt no öbs wacksa und größer werda.
WS17	Geh onni, sei sou guat und sogs dann'r Schwest'r, sie söll die Klad'r für eurer Mutt'r ferti mocha und mit d'r Börst[a] saub'r mocha.
WS18	Hust du'n gekennt, dann wärs besser kum̄a und es thät besser um'n schtena.
WS19	Wär hott mer ma Korb mit Flōsch gschtoula?
WS20	Er hott sou geduna, als hätte sie ihn zu Drescha beschtellt, sie hŏwes ober <(ower)> selb'r geduna.
WS21	Wem hott'r die neu Gschichte verzaihlt.
WS22	Mēr muß laut schreia, sonst verschēt m'r uns nitt.
WS23	Mer sann müd und häwa Durscht.
WS24	Als wir gĕschter Obends hām kum̄a senn, sann die annere scho im Bett glecha und höwa fest gschloffa.
WS25	Der Schnee iß die Nōcht durch leicha geblieba, ower heut früh iß'r gschmolza.
WS26	Hinner unserm Haus schtehn drei schöne Öpfelbamli mit rote Öpfeli.
WS27	Könnt'r nitt no a bißla uff uns warta, nochert gēna m'r mit euch.
WS28	Ihr dörft nitt sotti Kinneri treiwa.
WS29	Unner Berig sann nitt se sehr hoch, eure sann viel höher.
WS30	Wie viel Pfund Wurscht und wie viel Brōd wollt'r höwa?
WS31	I verschte euch nitt, ihr müßt a Bißla laut'r schprecha.
WS32	Hätt'r ka[n̰] Stückle weißi Saffa für mi uff măm Tisch gfunna?
WS33	S'a Bruder will zwā schöni neui Häus'r nei eurm Garta baua.
WS34	Das Wort kümbt ihm vom Herze.
WS35	Das wōr rächt von ihnen.
WS36	Wōs sitze doa für Vöugeli owe uf d'Mäuerle?
WS37	Die Bauer[a] howa fümpf Ochsa und neui Küh und zwölf Schöffli fŏrna an's Dorf gbrocht, die wolle sie verkaffa.
WS38	Die Leut sinn all daus uff'm Fäld und mäwä.
WS39	Geh n'r, der braune Hund dūt dir nix.
WS40	I binn mit de Lëut do hinna nei's Kōrn gfohra.
