---
Bogennummer: '21482'
Ort: Langenholzhausen
Gid: 102211
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Arne Milas
Original Anmerkungen: 'NB. Das O nähert sich in verschiedenen Wörtern sehr merklich
  dem "hannoverschen" A; wie z.B. in: "kahen, ſtehlen"[?]'
Erstelldatum: 2022-06-26 15:49:13.624179
Änderungsdatum: 2022-06-26 15:49:13.624179
...
WS1	In’n Winter fleujet deu draigen Bläėr dühr deu Luft herümme.
WS2	Öt haiert jluik upp teo ſchnuien, denn wert dat Wäer wier bäter.
WS3	Dé͡o Köhle in denn Oben, dat deu Mäile baule an tèo koken fenjet.
WS4	Deu j[oi]e aule Minske e͜ß <es> met denn Päre dürt Uiß <Uis> broken un in dat kaule Woter fallen.
WS5	Heu eß vör veuer eoder ſeß Wieken ſtoarben.
WS6	Dat Fuier waß tèo heut, deu Keoken ßint unner janß <ganß> ſchwart brennt.
WS7	Heu ät deu Eier jümmer épne Solt Pöpper.
WS8	Deu FOite deot mui düjet weu, eck laiwe, e[ck] häwwe ßeu dührlaupen.
WS9	Eck zinn bui deu Friuen wäſen un häwwe öt ühr ßejt, un ßeu ßä, ßeu woll öt auk üer Dochter ſöjjen.
WS10	Eck will’t auk nij mähr wier dèon!
WS11	Eck ſchloe doi jluik mié denn Schleuwe ümme deu Auern, di͡u Ope!
WS12	Wo jaihßt diu henn, ſchüh woi mié doi joen.
WS13	Öt ßint ſchlechte Tuien!
WS14	Moin leiwet Kint, bloif hoier unner ßtohn, deu bäuſen Jaiſe <Gaiſe> boit doi daut.
WS15	Diu heßt vandóije am meißten léert un bißt oherg wäſen, diue drafßt oier ni Huiß john <gohn> oſße deu Annern.
WS16	Diu moßt äuerßt naun Enne waſßen un jrötter wäern.
WS17	Jonk, ßui ßoi joit un ßej duinr Süßter, ßoi þcholl deu Klier för ühre Muttern <(Mammen)> ferj neien un met der Bößten reine móiken.
WS18	Herßt diu ühne kennt, denn wör öt anners <(annerßte)> kumen un öt deu bäter ümme ühne ſtohn <(ſtoihn)>.
WS19	Wer hett moi mui’n Korg mié Fleußk ſtohlen (ſtóihlen)?
WS20	Heu deu ſeo, oſße he’rn ßeu ühne teon Daßken beſtellt; ßeu hätt öt ober ßümßt doen.
WS21	Wenne hett heu deu nuie Geſchichte vertellt?
WS22	Mann mot düjet bölken, ßüß verſteiht heu uß nij.
WS23	Wui ßint moie un hätt Doßt.
WS24	Oſſe wui jiſtern Omt trüjje keumen, do leujen deu Annern oll upp’n Bedde un woren fa[ßt] ann ſchlopen.
WS25	Deu Schneu eß düſſe Nacht boi uß lijjen bleben, ober vanmorjen eß heu ßmolten.
WS26	Achter iußen Hiuße ſtoht dreu ſchöne <(wackere)> Appelbäumkens met rauen Appels.
WS27	Küje jui nij nau’n Aujenblick <(beten)> upp uß toiben, denn joh wui met jiuk.
WS28	Joi drüwet <(nij)> ßölle Kinnerſteike <(nij)> druiben.
WS29	Iuße berje ßint nij hanß jraut, jiue ßint vehl heujer.
WS30	Wovehl Punt Woßt un wovehl Braut wi joi häbb’n?
WS31	Eck verſtoh joi nij, joi müt n’ beten hedder küren.
WS32	Hei joi kein Stücke <(ßt)> witte Szeip’n för mou upp moinen Dißke funnen.
WS33	Szoin Broier well ßick twei wakker noie Huißer in ühren Goern biuen.
WS34	Dat Woiert kann ühne vann Harten.
WS35	Dat waß recht vann joi <(juck)>.
WS36	Wat ſitt’t do för Vüjelkens boben upp denn Muerken.
WS37	Deu Biuern hahrn foir Oſßenß un nijen Kaie un twölf Schöpkenß för dat Dörp brojt <(brocht)>, deu wollen ßeu verkaup’n.
WS38	Deu Luie ßint vandóije olle biut’n upp’m Feile un maiet.
WS39	Jonk mann, deu briune Rüe deut doi nicks.
WS40	Eck ßinn me denn Luien do achter öber deu Wiske inn’t Kauern foiert.
