---
Bogennummer: '21178'
Ort: Uetze
Gid: 116481
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Hans-Ulrich Henheik
Anmerkungen: 'Um die Lesbarkeit des transliterierten Textes zu erleichtern, wurde
  das Lang-S der Vorlage als einfaches S wiedergegeben (statt mit dem orthografisch
  korrekteren "ſ"). Damit der Unterschied zum End-S der Vorlage trotzdem erkennbar
  blieb, wurde dieses mit einem Ogonek " ̨" gekennzeichnet. Alle weiteren Diakritika
  entsprechen der Vorlage.

  Der Bogen wurde vom Lehrer selbst ausgefüllt, was kein Problem darstellt, wenn er
  aus dem selben Ort stammt. Jedoch ergeben sich aus Vergleichen sowohl mit den Wenkerbögen
  der Nachbarorte als auch mit späteren niederdeutschen Schriftzeugnissen aus Uetze
  selbst (vor allem von Ernst Hübke: "Dat was et", 2004) deutliche Abweichungen, die
  noch über das in der Transliteration der Wenker-Sätze bereits angemerkte hinausgehen.
  Einzelne hochdeutsche Worte bzw. Wortformen wie "im" (WS1), "und" (WS7, WS23, WS24,
  WS37, WS38), "am meisten" (WS15) und "Mutter" (WS17) tauchen jedoch auch in den
  Wenkerbögen der Nachbarorte auf.

  Heinrich Lütkemann schreibt über den Lehrer in seiner Chronik "Uetze", Hannover
  ²1898, S. 46: "Schul Meister an der 1. Schule [in Uetze]: … 1874-1887  Ernst Adolf
  Otto Drafehn, geb. 11. Februar 1844 zu Uetze, gebildet semin. 1863-1864 in Lüneburg
  …". Neben der schon durch die zu übertragenden Sätze gegebene Beeinflussung durch
  das Hochdeutsche kommt hier wohl noch die durch den Dialekt der Stadt Lüneburg hinzu,
  für den Eduard Kück in seinem "Lüneburger Wörterbuch", Bd. 3 (Neumünster 1967) auf
  Spalte 100 eben jene mit "s-" (statt "sch-") anlautenden Formen des Verbs (hochdeutsch)
  "sollen" anführt.'
Original Anmerkungen: 'Auf der Rückseite bzw. Seite B:

  Frage 2 (Lautet in dem in Ihrer Schulgemeinde ortsüblichen Dialekte das g im Anfang
  der Wörter …) ist ergänzt "wie g"

  Frage 3 (Ist ein deutlicher Unterschied zwischen dem g in Angel, Augen, fragen und
  dem g in Kegel, kriegen, biegen, zeigen …) ist ergänzt "sämmtlich gleich"

  Frage 4 (Lautet st, sp in den mundartlichen Wörtern für Stall, stellen, sprechen,
  Spiel etc. wie scht-, schp- oder wie ßt-, ßp-?): beide Alternativen sind durchgestrichen!
  {Wahrscheinlich kannte E.A.O. Drafehn nur die zweite Variante, wie sie bei den ältesten
  Menschen dieser Gegend immer noch zu hören ist.}'
Erstelldatum: 2023-04-16 14:08:12.275390
Änderungsdatum: 2023-04-28 16:53:08.186493
Satzversion: 1
...
WS1	Im Winter fleiget dei drögen Blär dorch de Luft herum
WS2	Et hört gliek upp tau snien, denn ward dat Wedder wär beter.
WS3	Dau Kohlen in den Ōben { ̄ = Langvokal}, dat dei Melk balle an tau koken fangt.
WS4	De gue ōle Mann is̨ {s̨ = End-S bzw. Rund-S; s = Lang-S, also ſ} mit den Pere dorcht Is̨ broken un int kohle Water fallen.
WS5	Hei is̨ vŏr { ̆ = Kurzvokal} veir oder söß Wochen storben.
WS6	Dat Füer waß tau heit, dei Kauken sünd ja un’n ganz swart brennt.
WS7	Hei itt dei Eier ümmer uhne Sŏlt und Pepper.
WS8	Dei Fäute daut mick gefährlich weih, ick glöbe, ick hĕwe sei dorch lōpen.
WS9	Ick bin bi der Fru wësen {ë entspricht wohl ä}, un hewwe et öhr esĕggt, un sei säe, sei woll et öhrer Dochter seggen.
WS10	Ick will et ōk nich mehr wedder dauhn.
WS11	Ick slae dick gliek mit dem Kōkleppel um de Ohren, du Āpe!
WS12	"Wo geihst du henn, süllt {S-Anlaut in der Umgebung und (später) in Uetze unüblich, stattdessen ""schütt"" etc.} wi mit dick gahn."
WS13	"Et sünd slechte Tieden. {in der Umgebung und (später) in Uetze stattdessen ""Tie(e)n"" etc.}"
WS14	Mien leiwet Kind, bliew hier unnen stahn, dei bösen Gäuse biet dick dot.
WS15	Du hast hüte am meisten lehrt, un bist artig wësen, du draffst freuher nah Huß gahn, as̨ dei anderen.
WS16	Du bist noch nich grōt nauch, um eine Flasche Wien uttaudrinken, du most noch erst ein En’n wassen un grötter wēr’n.
WS17	"Gah’ si {in der Umgebung meist ""wes̨"" etc.} sau gut un segg’ diner Swester, sei söll {in der Umgebung meist ""schöll"" etc.} de Kleder {in der Umgebung meist ""Kleer"" etc.} von jue Mutter fertig neien un mit dei Bößt rein maken."
WS18	Härrst du öhn ekannt, dann wür et anders̨ ekōmen, un et deh bäter um öhn stahn.
WS19	Wer hat mick mienen Korw mit Fleisch stuhlen.
WS20	"Hei deh sau, as̨ har’n sei öhn t[au] {in den Nachbarorten: ""taun""} Döschen bestellt, sei hett et aber süllwst {in der Umgebung und (später) in Uetze stattdessen ""sülms"" etc.} dahn."
WS21	Wem hatt hei de nie Geschichte vertellt.
WS22	"Man mott lut {in der Umgebung und (später) in Uetze ""lue""} schrien, süß versteiht hei üsch nich."
WS23	Wie sünd meue und hewwet Döst.
WS24	As̨ wie gĭstern Abend trügge keimen, leigen dei Anderen all’ tau Bedde und wörr’n fast inslapen.
WS25	Dei Sni is̨ düsse Nacht bi üsch liggen blëben, aber hüt Morgen is̨ hei smolten.
WS26	Hinder usen Huse staht drei schöne Appelböme mit rohen Appelkens̨.
