---
Bogennummer: 08786
Ort: Reichwalde
Gid: 139897
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Nele Rahn
Erstelldatum: 2025-11-04 09:05:17.176183
Änderungsdatum: 2025-11-04 09:05:17.176183
Satzversion: 1
...
WS1	In Winter fliegen trucknen Blätter durch de Luft rum.
WS2	's hert glei uf zu schnein, dann wird dos Wetter wieder besser.
WS3	Thu Kohlen in 'n Ufen, doß de Milch balde au zu kochen fängt.
WS4	Der gude, ale Monn is mit'n Farde durch's Eis gebrochen und in's kalde Wosser gefolln.
WS5	Ar is vor vier oder sechs Wuchen geschturben.
WS6	Dos Feier wŏr zu heeß, de Kuchen sein ja unten ganz schwŏrz gebrannt.
WS7	Ar ißt de Eier immer uhne Salz und Faffer.
WS8	De Beene thun mer siehre weh, ich gloobe, ich hŏb se durchgeloofen.
WS9	Ich bin bei der Frau gewast und hŏ's er gesŏht, und se sŏhte, se wullt's oh ihrer Tochter sŏhn.
WS10	Ich will's oh nie mer wieder thun!
WS11	Ich schlŏ der glei mit'n Kuchläffel unn de Uhren, du Offe.
WS12	Wu giehste hin, sull'n mer mit der giehn?
WS13	's sein schlechte Zeiten!
WS14	Mei liebes Kind, bleib hier unten stiehn, de biesen Gänse beißen dich tuht.
WS15	Du host heite am mehrschten gelernt und bist ŏrtig gewast, du derfst eh'r heem giehn, als de Andern.
WS16	Du bist nŏ nie gruß genung, um ane Flosche Wein auszutrinken; du mußt irscht no a Ende wachsen u. grisser wern.
WS17	Gieh, bis so gut und sŏh deiner Schwaster, se sull de Kleeder fer eire Mutter fertig näh'n und mit der Bürschte reene machen.
WS18	Häst'n gekannt, do wärsch andersch gekumm', und's thäte besser um'n schtiehn.
WS19	Wer hŏt mer mein'n Kurb mit Fleesch geschtŏhlen?
WS20	Er thot su, als hätt'n s'n zum dreschen beschtellt, se hŏn's aber alleene gemacht.
WS21	Wam hŏt er die neie Geschichte erzählt?
WS22	Man muß laut schrei'n, sunst verschtieht er uns nie.
WS23	Wir sein müde und hŏn Durscht.
WS24	Als wir gestern Ŏbend zuruk kŏmen, dŏ lŏgen de Andern schun in Bette u. wŏren fest einge schlŏfen.
WS25	Der Schnie is de Nacht bei uns liegen geblieben, aber heite Murgen is er gethaut.
WS26	Hinter unsen Hause schtiehn drei schiene Aeppelbeemel mit ruthen Aeppeln.
WS27	Könnt'er nie nŏ a Bissel uf uns wŏrtern, do giehn mer mit eich.
WS28	Ihr derft nie sulche Tummheeten machen. 
WS29	Unse Berge sein nie siehre huch, eire sein t viel hecher.
WS30	Wieviel Fund Wurscht und wieviel Brut wullt er hŏn.
WS31	Ich verschtieh eich nie; ihr müßt a Bissel lauter reden.
WS32	Hŏt er kee Stickel weiße Seefe fer mich uf mein'n Tische gefung'n?
WS33	Sei Bruder will sich zwee scheine, neie Heiser in eiern Gŏrten bau'n.
WS34	Dŏs Wurt kŏm'n von Herzen.
WS35	Dŏs wŏr recht von se.
WS36	Wos sotzen dŏ fer Vogel uben uf der Mauer?
WS37	Da Pauern hutten finf Uchsen und nein Kiehe und zwölf Schŏfe vor'sch Durf gebrucht; de wullt'n se verkoofen.
WS38	De Leite sein heite olle draußen uf'n Felde und hau'n.
WS39	Gieh ock, der braune Hund thut der nischt.
WS40	Ich bin mit'n Leiten dŏ hinte über de Wiese in's Kurn gefŏhren. <ŏ= o in Orgel>
