---
Bogennummer: '44735'
Ort: Kaisten
Gid: 14622
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: '{Über dem 1. Wenker-Satz steht mit Rotstift "st = scht." - Der Lehrer
  notiert den Umlaut manchmal wie ein Querstrich, manchmal wie ein Trema. Ich kann
  kein System dahinter erkennen und transkribiere deshalb den Umlaut immer mit dem
  Trema.}'
Erstelldatum: 2024-07-24 14:37:13.979286
Änderungsdatum: 2024-07-25 17:31:37.520358
Satzversion: 1
...
WS1	Im Wì̇nter flüüge {zunächst 'flüge'} die trochne Bletter ì̇ der Lùft ùmme {zunächst 'ùme'}
WS2	Es hört grad uuf z' schnèie {zunächst 'schèie'}, derno wird s' Wätter wider besser
WS3	Tue Chole in Oofe {zunächst 'Ofe'} n' ie, as d' Mì̇lch glii afangt chòche
WS4	Der guet alt Ma isch mittem Ròss im Iis iibroche und is chalt {zunächst 'chl'} Wasser g'hè̱it
WS5	Er isch vor viē̱r oder sächs Wùche g' schtoorbe {zunächst 'stoorbe', 'st' ist rot unterstrichen}.
WS6	S' Füür isch z' schtark {zunächst 'stark', 'st' ist rot unterstrichen} g'si, d' Chueͣ̈che sind ùndeduure schwarz worde
WS7	Er isst d' Eier ì̇mmer ohnė {zunächst 'ohne', dann aus 'e' ein 'i' gemacht durch Setzen eines i-Punktes} Salz und ohni Pfäffer
WS8	D' Fù̈ēss tüemer eeländ weh, i glaub i has dùregloffe.
WS9	Ì bì bii der Frau gsii und haner es gseit und sì̇ het g'seit, si wò̈lls au i dr Tochter säge
WS10	I will au nüme meh mache
WS11	I hau dr grad dr Chochchelle um d' Ohre-n-ume, du Aff !
WS12	Wo gòsch hì̇, {'so' ist durchgestrichen} müemer mit der cho ?
WS13	S' sind schlächti Zite
WS14	Blib dune schtoh {zunächst 'stoh', 's' ist rot unterstrichen}, lie̱bs Chind, die böse Gäns bisse di z' tood
WS15	Dù hesch hüt a, meischte g'leert und bisch brav gsi, de darfsch dr vùr eender hei as di andere
WS16	De bisch nòni gross gnuēg, as chasch e Fläsche Wii ustrinke, de muesch z' erscht no chli wachse und grösser wärde
WS17	"Gang, bis so guet und sägg zue diner Schwöschter, si sèll {""d' Chl"" ist durchgestrichen} dr Muetter ihri  Chleider feertig näie und mit dr Bürschte butze"
WS18	Hätt-isch-en {zunächst 'em'} dù kännt !  se wäͤrs anderch use cho {zunächst 'andersch cho', dann oben im Zwischenraum 'use' eingefügt} s' schtà̈ch {zunächst 'stà̈ch'} besser mittem.
WS19	Wer het mer mi Chorb vòll Fleisch g'schtohle {zunächst 'stohle', 'st' ist rot unterstrichen} ?
WS20	Er het de gliä̱ {zunächst 'glie'} tò, wiē wänn s' en zum Drösche b'schtellt {zunächst 'bestellt'} hätte, si hends {zunächst 'händs' ?} aber selber g'macht
WS21	Wem hèt er die̱ neue G'schicht verzellt ?
WS22	Me mues luut brüele, suscht verschtot {zunächst 'verstot, 's' ist rot unterstrichen} er is it.
WS23	Mer sind müed und hend Durscht
WS24	Wo mer geschter z' obe umme cho sind, sind di andere scho im Bett gsi und hend schù fescht g'schloofe
WS25	Dr Schnee isch hì̇nì̇cht bi-nis blibe ligge, aber hüt früeh isch er vergange.
WS26	Hinder öisem {zunächst 'eusem' dann 'eu' mit 'öi' überschrieben} Hus schtönd {zunächst 'stönd', 's' ist rot unterstrichen} drüü schöni Öpfelbäuͥmli mit drü rote Öpfeli
WS27	Chönnet-er it no e bizzeli uf-is warte, drno chöme mer miti̇̀ch.
WS28	De döörfe it eso {'e' ist mit grossem 'O' umkreist} Chindezüüge mache
WS29	Öisi Bärg sind it eso {'e' ist mit grossem 'O' umkreist} gar höch, ö̱ii sind höcher
WS30	Wiä {zunächst 'Wie'} mäng Pfund Wurscht und wì̇vì̇l {zunächst 'wì̇vì̇el'} Brot wänd {zunächst 'wend'} erha ?
WS31	I verschtohn-ich {zunächst 'verstohn', 'st' ist rot unterstrichen} it, dr müend echli̇̀ luuter schwätze.
WS32	Hend er kes Stückli wiisi Seipfe für mi̇̀ uf mim Tisch g'funde ?
WS33	Sin Brüeder will für ì̇n zweu schöni neui Hüüser i euem Gaarte boue
WS34	S' oort isch em {'e' ist mit grossem 'O' umkreist} {etwas ist durchgestrichen} vo Härze cho.
WS35	Dasch rächt gsi vo-ne-ne {das 1.'e' ist mit grossem 'O' umkreist}
WS36	Wa sitze dò für Vögeli oobe uf em Mürli oobe
WS37	D' Buure hend feuf Schtiäre {zunächst 'Stiäre'. 'S' ist rot unterstrichen} und nüün Chüäh und zwölf  Schööfli vors Dorf broht, si hend 's wölle verchaufe.
WS38	D' Lüüt {zunächst 'Lüt'} sind hǜt alli uf em Fäld {zunächst 'Feld'} und tüend mä̀ije
WS39	Gang numme, der bruun {zunächst 'bruune'} Hund macht der nüt
WS40	I bi mit de Lüüte {zunächst 'Lüte'} do hinde über d' Matte is Choorn g'fahre.
